Organization CRD#,Primary Business Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Postal Code,Main Office Telephone Number,World Wide Web Site Address,Discretionary AUM,Discretionary accounts,Average discretionary account AUM,Non-discretionary AUM,Non-discretionary accounts,Average non-discretionary account AUM,Total AUM,Total accounts,Average total account AUM
149136,&Wealth Partners,1340 Smith Ave.,Suite 200,Baltimore,MD,21209,(646) 924-1900,andwealthpartners.com,"$42,115,675 ",138,"$305,186 ","$168,180,803 ",156,"$1,078,082 ","$210,296,478 ",294,"$715,294 "
118203,361 Capital LLC,4600 South Syracuse St.,Suite 500,Denver,CO,80237,(303) 224-3900,361capital.com,"$96,277,000 ",24,"$4,011,542 ","$59,334,000 ",6,"$9,889,000 ","$155,611,000 ",30,"$5,187,033 "
112552,5T Wealth Management LLC,702 Trancas St.,Suite 200,Napa,CA,94558,(707) 224-1340,5twealth.com,"$111,323,606 ",322,"$345,725 ","$502,696 ",9,"$55,855 ","$111,826,302 ",331,"$337,844 "
148727,8Th Street Investments LLC,"108 N. Payne St., 2Nd Floor",,Alexandria,VA,22314,(703) 519-0962,8thstreetllc.com,"$47,431,034 ",98,"$483,990 ",$0 ,0,,"$47,431,034 ",98,"$483,990 "
148357,A & I Financial Services LLC,9800 Mt. Pyramid Court,Suite 450,Englewood,CO,80112,(303) 690-5070,assetsandincome.com,"$48,848,706 ",749,"$65,219 ","$61,530,827 ",367,"$167,659 ","$110,379,533 ","1,116","$98,906 "
123182,A. Robert Taylor Financial Advisory Services Ltd.,825 Green Bay Road,Suite 120,Wilmette,IL,60091,(847) 251-2099,artaylor.com,"$47,898,121 ",216,"$221,751 ","$5,721,916 ",1,"$5,721,916 ","$53,620,037 ",217,"$247,097 "
107994,Abacus Planning Group Inc.,2500 Devine St.,,Columbia,SC,29205,(803) 933-0054,abacusplanninggroup.com,"$652,022,426 ","2,006","$325,036 ",$0 ,0,,"$652,022,426 ","2,006","$325,036 "
128590,Abacus Wealth Partners,17383 Sunset Blvd.,Suite A360,Pacific Palisades,CA,90272,(888) 422-2287,abacuswealth.com,"$680,715,126 ","2,674","$254,568 ","$669,725 ",1,"$669,725 ","$681,384,851 ","2,675","$254,723 "
116355,Abaris Financial Group LLC,1150 Main St.,Suite 10,Concord,MA,1742,(978) 371-9649,abarisfinancial.com,"$90,552,700 ",544,"$166,457 ",$0 ,0,,"$90,552,700 ",544,"$166,457 "
111040,Abbot Financial Management Inc.,510 Turnpike St.,Ste 101,North Andover,MA,1845,(978) 688-9010,abbotfm.com,"$119,135,805 ",276,"$431,651 ","$1,902,859 ",6,"$317,143 ","$121,038,664 ",282,"$429,215 "
